Area,Production,GDP,Annual Growth Rate (%),Inflation,Rainfall,Price,Temparature
170012,800927,54340,0.1387,0.0425,1066.4,1009,30.4
227930,547716,61332,0.1285,0.058,638.1,1094,30
168963,845829,61332,0.1285,0.058,638.1,1094,30
242000,715000,78128,0.2747,0.0637,980.6,1284,30.12
169000,803000,78128,0.2747,0.0637,980.6,1284,30.12
240231,716609,75924,-0.029,0.0835,798,1494,30.5
169861,796648,75924,-0.029,0.0835,798,1494,30.5
202153,616567,83752,0.1036,0.1088,688.2,1575,29.87
104423,456537,83752,0.1036,0.1088,688.2,1575,29.87
237640,457704,103208,0.232,0.1199,963.5,1030,29.7
172888,849917,103208,0.232,0.1199,963.5,1030,29.7
197445,589741,110808,0.0741,0.0886,738,1110,27.6
139649,587084,110808,0.0741,0.0886,738,1110,27.6
232300,355651,109744,-0.0098,0.0931,715,1250,27.55
168756,746239,109744,-0.0098,0.0931,715,1250,27.55
235159,434104,110200,0.004,0.1106,762.6,1345,27.75
169523,777602,110200,0.004,0.1106,762.6,1345,27.75
226072,681833,119624,0.0857,0.0665,551.8,1425,27.92
168045,881396,119624,0.0857,0.0665,551.8,1425,27.92
394117,1563229,119624,0.0857,0.0665,551.8,1425,27.92
295000,845300,31540,0.0389,0.0716,835,968,28.84
14500,51800,31540,0.0389,0.0716,835,968,28.84
298400,921400,31388,-0.0053,0.1323,948.1,939,29.1
29100,99900,31388,-0.0053,0.1323,948.1,939,29.1
302886,969414,33592,0.0694,0.0467,537.2,1009,29.23
14822,53167,33592,0.0694,0.0467,537.2,1009,29.23
292899,987363,33668,0.003,0.0401,871.3,1139,29.59
12692,49600,33668,0.003,0.0401,871.3,1139,29.59
272468,935110,34352,0.0186,0.0378,924.5,864,29.86
44917,181060,34352,0.0186,0.0378,924.5,864,29.86
202953,646811,35796,0.043,0.043,615.2,964,29.9
2716,7385,35796,0.043,0.043,615.2,964,29.9
170487,482990,41572,0.1608,0.0381,725.5,945,30.2
5772,16837,41572,0.1608,0.0381,725.5,945,30.2
240404,833961,47728,0.1482,0.0377,741.7,1309,30.24
21247,70922,47728,0.1482,0.0377,741.7,1309,30.24
288879,892636,54340,0.1387,0.0425,1066.4,1009,30.4
31434,111559,54340,0.1387,0.0425,1066.4,1009,30.4
288638,783941,61332,0.1285,0.058,638.1,1094,30
28933,100947,61332,0.1285,0.058,638.1,1094,30
283000,976000,78128,0.2747,0.0637,980.6,1284,30.12
24000,85000,78128,0.2747,0.0637,980.6,1284,30.12
281491,959321,75924,-0.029,0.0835,798,1494,30.5
51358,187662,75924,-0.029,0.0835,798,1494,30.5
190526,683226,83752,0.1036,0.1088,688.2,1575,29.87
112342,383423,83752,0.1036,0.1088,688.2,1575,29.87
271072,649760,103208,0.232,0.1199,963.5,1030,29.7
58393,201806,103208,0.232,0.1199,963.5,1030,29.7
281790,1080921,110808,0.0741,0.0886,738,1110,27.6
11012,39060,110808,0.0741,0.0886,738,1110,27.6
174699,607778,109744,-0.0098,0.0931,715,1250,27.55
8362,29903,109744,-0.0098,0.0931,715,1250,27.55
280060,912716,110200,0.004,0.1106,762.6,1345,27.75
48107,183288,110200,0.004,0.1106,762.6,1345,27.75
255607,1000190,119624,0.0857,0.0665,551.8,1425,27.92
29695,111742,119624,0.0857,0.0665,551.8,1425,27.92
285302,1111932,119624,0.0857,0.0665,551.8,1425,27.92
47700,77500,31540,0.0389,0.0716,835,968,28.84
13000,27700,31540,0.0389,0.0716,835,968,28.84
59200,169800,31388,-0.0053,0.1323,948.1,939,29.1
17000,41600,31388,-0.0053,0.1323,948.1,939,29.1
54783,134484,33592,0.0694,0.0467,537.2,1009,29.23
6828,12921,33592,0.0694,0.0467,537.2,1009,29.23
60412,170120,33668,0.003,0.0401,871.3,1139,29.59
7426,6134,33668,0.003,0.0401,871.3,1139,29.59
38218,96883,34352,0.0186,0.0378,924.5,864,29.86
37550,98231,34352,0.0186,0.0378,924.5,864,29.86
27457,56424,35796,0.043,0.043,615.2,964,29.9
9203,16446,35796,0.043,0.043,615.2,964,29.9
23356,60025,41572,0.1608,0.0381,725.5,945,30.2
10767,24032,41572,0.1608,0.0381,725.5,945,30.2
46932,149619,47728,0.1482,0.0377,741.7,1309,30.24
5689,11424,47728,0.1482,0.0377,741.7,1309,30.24
45556,85828,54340,0.1387,0.0425,1066.4,1009,30.4
21197,55791,54340,0.1387,0.0425,1066.4,1009,30.4
41908,114493,61332,0.1285,0.058,638.1,1094,30
4997,10963,61332,0.1285,0.058,638.1,1094,30
45000,139000,78128,0.2747,0.0637,980.6,1284,30.12
17000,45000,78128,0.2747,0.0637,980.6,1284,30.12
50183,87168,75924,-0.029,0.0835,798,1494,30.5
14883,41271,75924,-0.029,0.0835,798,1494,30.5
52423,153757,83752,0.1036,0.1088,688.2,1575,29.87
12894,34169,83752,0.1036,0.1088,688.2,1575,29.87
53345,80657,103208,0.232,0.1199,963.5,1030,29.7
17037,48896,103208,0.232,0.1199,963.5,1030,29.7
47290,141161,110808,0.0741,0.0886,738,1110,27.6
6606,17499,110808,0.0741,0.0886,738,1110,27.6
24147,61551,109744,-0.0098,0.0931,715,1250,27.55
6601,19249,109744,-0.0098,0.0931,715,1250,27.55
51753,148842,110200,0.004,0.1106,762.6,1345,27.75
10959,29447,110200,0.004,0.1106,762.6,1345,27.75
42124,155648,119624,0.0857,0.0665,551.8,1425,27.92
3761,10189,119624,0.0857,0.0665,551.8,1425,27.92
45885,165837,119624,0.0857,0.0665,551.8,1425,27.92
257900,699400,31540,0.0389,0.0716,835,968,28.84
116300,393500,31540,0.0389,0.0716,835,968,28.84
280800,759900,31388,-0.0053,0.1323,948.1,939,29.1
134500,491200,31388,-0.0053,0.1323,948.1,939,29.1
278415,834490,33592,0.0694,0.0467,537.2,1009,29.23
127888,457596,33592,0.0694,0.0467,537.2,1009,29.23
281343,868787,33668,0.003,0.0401,871.3,1139,29.59
112917,408308,33668,0.003,0.0401,871.3,1139,29.59
245114,714507,34352,0.0186,0.0378,924.5,864,29.86
98472,358635,34352,0.0186,0.0378,924.5,864,29.86
243910,761243,35796,0.043,0.043,615.2,964,29.9
2185,5688,35796,0.043,0.043,615.2,964,29.9
222367,526565,41572,0.1608,0.0381,725.5,945,30.2
7486,19359,41572,0.1608,0.0381,725.5,945,30.2
245306,804849,47728,0.1482,0.0377,741.7,1309,30.24
10017,31584,47728,0.1482,0.0377,741.7,1309,30.24
254919,697203,54340,0.1387,0.0425,1066.4,1009,30.4
104332,409399,54340,0.1387,0.0425,1066.4,1009,30.4
251433,521221,61332,0.1285,0.058,638.1,1094,30
94862,355638,61332,0.1285,0.058,638.1,1094,30
261000,944000,78128,0.2747,0.0637,980.6,1284,30.12
94000,355000,78128,0.2747,0.0637,980.6,1284,30.12
273878,959395,75924,-0.029,0.0835,798,1494,30.5
120655,467900,75924,-0.029,0.0835,798,1494,30.5
228196,784310,83752,0.1036,0.1088,688.2,1575,29.87
108442,424984,83752,0.1036,0.1088,688.2,1575,29.87
260350,722978,103208,0.232,0.1199,963.5,1030,29.7
94991,367710,103208,0.232,0.1199,963.5,1030,29.7
262826,980105,110808,0.0741,0.0886,738,1110,27.6
9203,31437,110808,0.0741,0.0886,738,1110,27.6
253166,908360,109744,-0.0098,0.0931,715,1250,27.55
11365,42244,109744,-0.0098,0.0931,715,1250,27.55
264371,773285,110200,0.004,0.1106,762.6,1345,27.75
98951,402236,110200,0.004,0.1106,762.6,1345,27.75
235212,788901,119624,0.0857,0.0665,551.8,1425,27.92
52830,209894,119624,0.0857,0.0665,551.8,1425,27.92
288042,998795,119624,0.0857,0.0665,551.8,1425,27.92
66300,176900,103208,0.232,0.1199,835,968,28.84
9000,23900,103208,0.232,0.1199,835,968,28.84
75100,221700,103208,0.232,0.1199,948.1,939,29.1
20900,44500,31388,-0.0053,0.1323,948.1,939,29.1
81640,225431,33592,0.0694,0.0467,537.2,1009,29.23
12430,35695,33592,0.0694,0.0467,537.2,1009,29.23
93188,307427,33668,0.003,0.0401,871.3,1139,29.59
13909,38083,33668,0.003,0.0401,871.3,1139,29.59
43617,121779,34352,0.0186,0.0378,924.5,864,29.86
38162,98534,34352,0.0186,0.0378,924.5,864,29.86
47948,100499,35796,0.043,0.043,615.2,964,29.9
10974,24856,35796,0.043,0.043,615.2,964,29.9
34618,100635,41572,0.1608,0.0381,725.5,945,30.2
4966,11377,41572,0.1608,0.0381,725.5,945,30.2
61465,210702,47728,0.1482,0.0377,741.7,1309,30.24
12058,37549,47728,0.1482,0.0377,741.7,1309,30.24
88555,292586,54340,0.1387,0.0425,1066.4,1009,30.4
20079,65980,54340,0.1387,0.0425,1066.4,1009,30.4
80692,270238,61332,0.1285,0.058,638.1,1094,30
12475,36764,61332,0.1285,0.058,638.1,1094,30
90000,332000,78128,0.2747,0.0637,980.6,1284,30.12
19000,51000,78128,0.2747,0.0637,980.6,1284,30.12
84066,279856,75924,-0.029,0.0835,798,1494,30.5
27383,97073,75924,-0.029,0.0835,798,1494,30.5
81908,256454,83752,0.1036,0.1088,688.2,1575,29.87
44772,157911,83752,0.1036,0.1088,688.2,1575,29.87
104110,291475,103208,0.232,0.1199,963.5,1030,29.7
32967,105626,103208,0.232,0.1199,963.5,1030,29.7
91984,333882,110808,0.0741,0.0886,738,1110,27.6
14738,46042,110808,0.0741,0.0886,738,1110,27.6
72625,276774,109744,-0.0098,0.0931,715,1250,27.55
16840,60102,109744,-0.0098,0.0931,715,1250,27.55
92596,340383,110200,0.004,0.1106,762.6,1345,27.75
